timestamp,src_ip,dst_ip,proto,src_port,dst_port,flags,packet_len,label
1745350855.833217,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350857.483073,192.168.100.4,192.168.100.5,TCP,22,46718,PA,118,ssh_brute_force
1745350857.484585,192.168.100.5,192.168.100.4,TCP,46718,22,PA,142,ssh_brute_force
1745350857.484604,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350859.184725,192.168.100.4,192.168.100.5,TCP,22,46748,PA,118,ssh_brute_force
1745350859.186332,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
1745350859.186772,192.168.100.5,192.168.100.4,TCP,46748,22,PA,142,ssh_brute_force
1745350859.186800,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350859.197541,192.168.100.5,192.168.100.4,TCP,46736,22,PA,142,ssh_brute_force
1745350859.197565,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350859.201546,192.168.100.4,192.168.100.5,TCP,22,46716,PA,118,ssh_brute_force
1745350859.208165,192.168.100.5,192.168.100.4,TCP,46716,22,PA,142,ssh_brute_force
1745350859.208178,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350860.836458,192.168.100.4,192.168.100.5,TCP,22,46718,PA,118,ssh_brute_force
1745350860.838477,192.168.100.5,192.168.100.4,TCP,46718,22,PA,142,ssh_brute_force
1745350860.838502,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350860.874740,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
1745350860.876671,192.168.100.5,192.168.100.4,TCP,46736,22,PA,150,ssh_brute_force
1745350860.876697,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350862.538171,192.168.100.4,192.168.100.5,TCP,22,46748,PA,118,ssh_brute_force
1745350862.539666,192.168.100.5,192.168.100.4,TCP,46748,22,PA,142,ssh_brute_force
1745350862.539687,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350862.553206,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
1745350862.554482,192.168.100.5,192.168.100.4,TCP,46736,22,PA,150,ssh_brute_force
1745350862.554496,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350862.560273,192.168.100.4,192.168.100.5,TCP,22,46716,PA,118,ssh_brute_force
1745350862.565190,192.168.100.5,192.168.100.4,TCP,46716,22,PA,150,ssh_brute_force
1745350862.565211,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350864.191744,192.168.100.4,192.168.100.5,TCP,22,46718,PA,118,ssh_brute_force
1745350864.193766,192.168.100.5,192.168.100.4,TCP,46718,22,PA,150,ssh_brute_force
1745350864.193790,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350865.871600,192.168.100.4,192.168.100.5,TCP,22,46718,PA,118,ssh_brute_force
